Y	AC006156.1	9467001	9468816
Y	AC006157.1	2961091	2979993
Y	AC006157.2	2953937	2979993
Y	AC006328.1	25460010	25460092
Y	AC006328.2	25497994	25498059
Y	AC006328.3	25456723	25456788
Y	AC006328.4	25463994	25473714
Y	AC006371.1	13667960	13668056
Y	AC006382.1	15520739	15520809
Y	AC006386.1	25307702	25308107
Y	AC007241.1	18282853	18282947
Y	AC007379.1	18731769	18773618
Y	AC007562.2	25622443	25624527
Y	AC007678.1	20575872	20592346
Y	AC009491.1	8710885	8745985
Y	AC009491.2	8695281	8743495
Y	AC009977.1	19576009	19576182
Y	AC010086.2	21370918	21371003
Y	AC010722.1	5056824	5104361
Y	AC010722.2	5032697	5104361
Y	AC010723.2	14252185	14252291
Y	AC010874.1	5874246	5874338
Y	AC010879.1	14622120	14733537
Y	AC010879.2	14723149	14841262
Y	AC010889.1	19705995	19744534
Y	AC010889.2	19705995	19744534
Y	AC010970.1	10196372	10196484
Y	AC011293.1	11826737	11826806
Y	AC012005.1	24213354	24213419
Y	AC012005.2	24210050	24210132
Y	AC012005.3	24362031	24362436
Y	AC012005.4	24196425	24206144
Y	AC012667.1	5573928	5574019
Y	AC013412.1	6866073	6872608
Y	AC013734.1	26411059	26411158
Y	AC017020.1	16062766	16062829
Y	AC019058.1	3630144	3630229
Y	AC022486.2	18546788	18588634
Y	AC023274.1	24172086	24172151
Y	AC064829.1	8549671	8748740
Y	AC068601.1	24045604	24047688
Y	AC068704.1	17623061	17623155
Y	AC134878.1	11184875	11184957
Y	AC134878.2	11184683	11184764
Y	AC134882.1	11308274	11308351
Y	AC134882.2	11316278	11316360
Y	AC134882.3	11333688	11333771
Y	AMELY	6865918	6874027
Y	BPY2	22973819	23005465
Y	BPY2	22992344	22998268
Y	BPY2B	24607560	24639207
Y	BPY2B	24626085	24632010
Y	BPY2C	25030901	25062548
Y	BPY2C	25038098	25044023
Y	CD24P4	18992467	18992709
Y	CDY1	24046066	24047688
Y	CDY1	25622162	25624902
Y	CDY1B	24045229	24048019
Y	CDY1B	25622443	25624065
Y	CDY2A	17878267	17879892
Y	CDY2A	18025787	18028597
Y	CDY2B	17877410	17880220
Y	CDY2B	18026115	18027740
Y	CSPG4P1Y	25482908	25486705
Y	CSPG4P2Y	24183434	24187231
Y	DAZ1	23129355	23199094
Y	DAZ1	23135210	23198800
Y	DAZ1	23219741	23285501
Y	DAZ1	23219741	23285501
Y	DAZ1	24768934	24813185
Y	DAZ1	24834127	24901175
