ARMCX3	101622797	101627843
ELK1	47635521	47650604
GYG2	2828788	2882818
IL13RA1	118727572	118794539
LONRF3	118974614	119018355
PIR	15384799	15493564
AK4	65147549	65232145
AKT3	243488233	243851079
ARID4B	235131634	235328219
COL11A1	102876467	103108496
CTTNBP2NL	112396181	112463456
DBT	100186919	100249834
DOCK7	62454728	62688368
EDEM3	184690231	184754913
ENSA	150600851	150629612
FAM129A	184790724	184974550
FAM73A	77779624	77879539
HEYL	39624153	39639945
JUN	58780788	58784327
MCOLN3	85018082	85048499
NEXN	77888513	77943895
PROK1	110451200	110457354
PTPRC	198638671	198757283
RGS1	192575727	192580031
RGS5	163111121	163321791
S100A7	153457744	153460701
SLC16A1	112911847	112957013
SLC2A5	9035107	9088478
SLC35A3	99969789	100026979
ST6GALNAC3	76074719	76634601
TM2D1	61681046	61725423
TOR1AIP1	179882042	179925000
TRIM58	247857199	247878205
UHMK1	162497251	162529629
ACTR2	65227753	65271253
AGFG1	227472152	227561214
B3GNT2	62196113	62224731
CXCR4	136114349	136118165
DCAF17	171434217	171485052
IGFBP5	216672105	216695525
ITGA6	172427354	172506282
LBH	30231531	30323730
ORMDL1	189770323	189784371
QPCT	37344574	37373322
RHOQ	46541806	46583121
SLC8A1	40097270	40611053
SSFA2	181891833	181930738
TMEM87B	112055223	112119318
USP34	61187463	61470769
ARPC4	9792495	9807726
ATXN7	63864557	64003462
CAPN7	15206152	15252918
CLDN11	170418865	170860380
CTNNB1	41194837	41260096
FAM198A	42979267	43060211
FNDC3B	172039628	172401665
FSTL1	120392293	120451253
KLHL24	183635568	183684477
LIMD1	45555394	45686338
MBNL1	152243828	152465780
PCNP	101574095	101594437
PTX3	157436789	157443628
PXK	58332880	58426126
SEMA3F	50155045	50189075
SLCO2A1	133932696	134052184
ARAP2	35948221	36244509
CCNG2	77157151	77433388
CCNI	77047158	77076005
GALNT7	173168753	173323967
HNRNPDL	82422564	82430225
NAA15	139301455	139420033
RAPGEF2	159104178	159360169
SCOC	140257286	140385726
ADCY2	7396208	7830081
C5orf24	134845680	134859737
CREBRF	173056352	173139284
FST	53480409	53487134
GPX3	151020438	151028993
MIER3	56919602	56971675
PDE4D	58969038	60522120
PIK3R1	68215720	68301821
PRLR	35048756	35230589
RICTOR	38937919	39074408
SCAMP1	78360583	78479071
SMAD5	136132845	136188747
TRIM23	65589680	65625975
ZFR	32354350	32444761
AKAP12	151239999	151358557
ATG5	106184476	106325820
BLOC1S5	8013567	8064414
CDC5L	44387525	44450426
FABP7	122779475	122784074
GPR115	47685864	47722021
HINT3	125956781	125980244
IGF2R	159969099	160113507
ME1	83210389	83431071
PAQR8	52361421	52407777
PHACTR2	143536845	143831185
PRPF4B	4021267	4064983
RANBP9	13621498	13711564
SLC17A5	73593379	73654155
SYNCRIP	85607785	85643792
TFAP2B	50818723	50847613
AKR1B10	134527592	134541408
BRAF	140719327	140924764
CASP2	143288215	143307696
CD36	80369575	80679277
CREB5	28299321	28825894
DOCK4	111726110	112206411
EGFR	55019021	55256620
GPNMB	23235967	23275108
HERPUD2	35632659	35695571
HGF	81699006	81770438
