S100A7	hs1	143200000	147500000
FABP7	hs6	114200000	117900000
FST	hs5	48800000	51400000
MUCL1	hs12	54500000	56200000
ELF5	hs11	31000000	36400000
ADCY2	hs5	15000000	18400000
C18orf19	hs18	15400000	18500000
RIOK3	hs18	18500000	21500000
KIAA1632	hs18	27500000	35100000
SMCHD1	hs18	15400000	18500000
SOCS6	hs18	63900000	69100000
MBD2	hs18	45900000	50700000
ZCCHC2	hs18	45900000	50700000
DERL3	hs22	15000000	17400000
YES1	hs18	15400000	18500000
TCF4	hs18	45900000	50700000
LBH	hs2	29800000	31800000
ANKRD12	hs18	15400000	18500000
RNF125	hs18	27500000	35100000
IMPACT	hs18	18500000	21500000
PLCB4	hs20	12000000	17900000
GAS2L3	hs12	95800000	101200000
SMAD4	hs18	45900000	50700000
LPIN2	hs18	15400000	18500000
ZNF614	hs19	31900000	35100000
LOC646762	hs7	37100000	43300000
QPCT	hs2	38300000	41500000
PTGER2	hs14	50400000	53600000
ARMCX3	hsX	76800000	85400000
ROCK1	hs18	18500000	21500000
MIB1	hs18	18500000	21500000
MARCKS	hs6	114200000	117900000
IGFBP5	hs2	196600000	202500000
TRAM1	hs8	65100000	67100000
KDSR	hs18	45900000	50700000
RGS5	hs1	156600000	159100000
MRGPRF	hs11	63600000	66100000
ERF	hs19	31900000	35100000
SLC16A1	hs1	117200000	120400000
AKAP8L	hs19	16100000	19900000
ITCH	hs20	28100000	30400000
ATG5	hs6	105000000	114200000
DNAJC3	hs13	94400000	97500000
NAA15	hs4	138500000	140600000
ZNF800	hs7	107800000	115000000
TRIM23	hs5	59600000	63600000
YWHAE	hs17	6500000	10800000
MIER3	hs5	48800000	51400000
CFL2	hs14	24100000	32900000
IL13RA1	hsX	117400000	121800000
SS18	hs18	18500000	21500000
MALAT1	hs11	63600000	66100000
RSL1D1	hs16	14700000	16700000
PCNP	hs3	98600000	100300000
MUTED	hs6	4200000	7100000
KLHL24	hs3	183000000	184800000
CAPN7	hs3	26300000	30800000
TM2D1	hs1	69300000	84400000
ZFR	hs5	38400000	42500000
ABCA1	hs9	99800000	105400000
SEL1L	hs14	67400000	69800000
RDX	hs11	110600000	112700000
SCYL2	hs12	95800000	101200000
ZNF655	hs7	98400000	104200000
UGCG	hs9	99800000	105400000
SLC39A6	hs18	27500000	35100000
TOR1AIP1	hs1	165500000	167200000
MTUS1	hs8	12800000	19200000
AKT3	hs1	243500000	248956422
TMTC3	hs12	71100000	75300000
LOC647979	hs20	28100000	30400000
RAC1	hs7	4500000	7200000
P4HB	hs17	72900000	76800000
SSFA2	hs2	168900000	177100000
