S100A7	hs1	143200000	147500000
HGF	hs7	77900000	86700000
COL11A1	hs1	101800000	106700000
C19orf26	hs19	16100000	19900000
KCNIP2	hs10	95300000	97500000
ZNF709	hs19	16100000	19900000
VSX1	hs20	25700000	28100000
ZNF808	hs19	31900000	35100000
EGFR	hs7	50500000	53900000
AMN	hs14	89300000	91400000
FAM69B	hs9	127500000	130600000
RUNDC2B	hs16	35300000	36800000
LOC100288221	hs19	16100000	19900000
LOC389634	hs12	12600000	14600000
CACNA1A	hs19	16100000	19900000
DNAH1	hs3	52300000	54400000
COL9A3	hs20	43100000	43500000
CDR1	hsX	138900000	141200000
KLK15	hs19	31900000	35100000
LOC283403	hs12	46000000	48700000
LOC401074	hs3	83500000	87100000
EPC1	hs10	38000000	39800000
TPM4	hs19	16100000	19900000
TNFAIP3	hs6	130000000	130900000
CDC27	hs17	39800000	40200000
TRIM23	hs5	59600000	63600000
C3orf23	hs3	52300000	54400000
USP16	hs21	30200000	34400000
HS2ST1	hs1	91500000	94300000
DBT	hs1	69300000	84400000
GCFC1	hs21	15000000	22600000
SLC8A1	hs2	29800000	31800000
TTC37	hs5	93000000	98900000
MIER3	hs5	48800000	51400000
CFL2	hs14	24100000	32900000
TMCO3	hs13	109600000	114364328
TMTC2	hs12	71100000	75300000
C10orf118	hs10	104000000	110100000
CTTNBP2NL	hs1	115500000	117200000
IL13RA1	hsX	117400000	121800000
EHBP1L1	hs11	63600000	66100000
ORMDL1	hs2	182100000	188500000
LIMA1	hs12	46000000	48700000
SLC17A5	hs6	75200000	83200000
RAPGEF2	hs4	154600000	160800000
TET2	hs4	100100000	106700000
MALAT1	hs11	63600000	66100000
MBNL2	hs13	94400000	97500000
RSL1D1	hs16	14700000	16700000
ARID4B	hs1	223900000	224400000
WSB1	hs17	25100000	27400000
HSPA13	hs21	12000000	13000000
RBAK	hs7	4500000	7200000
PCNP	hs3	98600000	100300000
BMPR2	hs2	196600000	202500000
MUTED	hs6	4200000	7100000
DCAF17	hs2	168900000	177100000
SOS2	hs14	37400000	43000000
CREB5	hs7	27900000	28800000
PDZD8	hs10	117300000	119900000
KLHL24	hs3	183000000	184800000
BAGE2	hs21	10900000	12000000
USP34	hs2	61000000	63900000
PTPN11	hs12	108600000	111300000
ACTR2	hs2	63900000	68400000
FAM73A	hs1	69300000	84400000
HERPUD2	hs7	37100000	43300000
UHMK1	hs1	156600000	159100000
CAPN7	hs3	26300000	30800000
PRLR	hs5	38400000	42500000
ALDH6A1	hs14	67400000	69800000
TM2D1	hs1	69300000	84400000
FBXL20	hs17	33500000	39800000
RFWD3	hs16	74100000	79200000
PLEKHA2	hs8	43200000	45200000
WWP2	hs16	66600000	70800000
FNDC3B	hs3	161000000	167900000
KIAA1462	hs10	38000000	39800000
CRYZL1	hs21	15000000	22600000
ZFR	hs5	38400000	42500000
MET	hs7	107800000	115000000
GPNMB	hs7	27900000	28800000
EIF4B	hs12	46000000	48700000
MARK2	hs11	63600000	66100000
PICALM	hs11	77400000	85900000
ABCA1	hs9	99800000	105400000
GDPD1	hs17	52100000	59500000
ELK1	hsX	58100000	61000000
CDC5L	hs6	40500000	46200000
HINT3	hs6	114200000	117900000
RANBP9	hs6	13400000	15200000
SMAD5	hs5	131200000	136900000
BRWD1	hs21	30200000	34400000
PTRF	hs17	39800000	40200000
MAP4K5	hs14	17200000	18200000
SEL1L	hs14	67400000	69800000
MSI2	hs17	52100000	59500000
RDX	hs11	110600000	112700000
SCYL2	hs12	95800000	101200000
SYNJ2BP	hs14	67400000	69800000
ZNF655	hs7	98400000	104200000
MDFIC	hs7	107800000	115000000
SUPT16H	hs14	17200000	18200000
SLCO2A1	hs3	122200000	124100000
FAM63B	hs15	44500000	49200000
UGCG	hs9	99800000	105400000
SLC39A6	hs18	27500000	35100000
TOR1AIP1	hs1	165500000	167200000
MTUS1	hs8	12800000	19200000
AKT3	hs1	243500000	248956422
MBNL1	hs3	149200000	152300000
TTC3	hs21	30200000	34400000
LTN1	hs21	30200000	34400000
IGF2BP3	hs7	58100000	60100000
ITCH	hs20	28100000	30400000
ITSN1	hs21	30200000	34400000
NFAT5	hs16	66600000	70800000
TNRC6B	hs22	37200000	40600000
AKT1S1	hs19	31900000	35100000
TMTC3	hs12	71100000	75300000
LOC647979	hs20	28100000	30400000
ABCG1	hs21	30200000	34400000
SMG1	hs16	24200000	28500000
C5orf24	hs5	131200000	136900000
ADAMTS1	hs21	15000000	22600000
PAPOLA	hs14	89300000	91400000
CASP2	hs7	138500000	143400000
RAC1	hs7	4500000	7200000
P4HB	hs17	72900000	76800000
SSFA2	hs2	168900000	177100000
