hs1	143200000	147500000	S100A7
hs6	114200000	117900000	FABP7
hs7	77900000	86700000	HGF
hs1	101800000	106700000	COL11A1
hs19	16100000	19900000	C19orf26
hs10	95300000	97500000	KCNIP2
hs19	16100000	19900000	ZNF709
hs20	25700000	28100000	VSX1
hs19	31900000	35100000	ZNF808
hs7	50500000	53900000	EGFR
hs14	89300000	91400000	AMN
hs9	127500000	130600000	FAM69B
hs16	35300000	36800000	RUNDC2B
hs19	16100000	19900000	LOC100288221
hs12	12600000	14600000	LOC389634
hs19	16100000	19900000	CACNA1A
hs3	52300000	54400000	DNAH1
hs20	43100000	43500000	COL9A3
hsX	138900000	141200000	CDR1
hs19	31900000	35100000	KLK15
hs12	46000000	48700000	LOC283403
hs3	83500000	87100000	LOC401074
hs5	48800000	51400000	FST
hs12	54500000	56200000	MUCL1
hs11	31000000	36400000	ELF5
hsX	21900000	24900000	PIR
hs6	53000000	57200000	TFAP2B
hs12	46000000	48700000	METTL7B
hsX	117400000	121800000	LONRF3
hs5	15000000	18400000	ADCY2
hsX	129500000	131300000	MGC16121
hs10	95300000	97500000	ADRB1
hs13	18900000	22600000	ATP8A2
hs12	71100000	75300000	ACSS3
hs18	15400000	18500000	C18orf19
hs4	106700000	113200000	DAPP1
hs13	18900000	22600000	MIPEP
hs13	18900000	22600000	SLC46A3
hs1	115500000	117200000	TSPAN2
hs18	18500000	21500000	RIOK3
hs18	27500000	35100000	KIAA1632
hs13	39500000	44600000	TRIM13
hs13	39500000	44600000	ARL11
hs16	66600000	70800000	CDH11
hs4	138500000	140600000	GALNT7
hs18	15400000	18500000	SMCHD1
hs18	63900000	69100000	SOCS6
hs18	45900000	50700000	MBD2
hs18	45900000	50700000	ZCCHC2
hsX	68500000	73000000	TAF9B
hs6	160600000	164100000	IGF2R
hs17	39800000	40200000	ZNF652
hs22	15000000	17400000	DERL3
hs18	15400000	18500000	YES1
hs18	45900000	50700000	TCF4
hs2	29800000	31800000	LBH
hs13	31600000	33400000	SPG20
hs18	15400000	18500000	ANKRD12
hs18	27500000	35100000	RNF125
hs22	15000000	17400000	MAPK1
hs18	18500000	21500000	IMPACT
hs13	31600000	33400000	LOC283508
hs4	35800000	41200000	ARAP2
hs20	12000000	17900000	PLCB4
hs12	95800000	101200000	GAS2L3
hs18	45900000	50700000	SMAD4
hs18	15400000	18500000	LPIN2
hs19	31900000	35100000	ZNF614
hs2	41500000	47500000	RHOQ
hs13	39500000	44600000	SLC25A30
hs3	52300000	54400000	LIMD1
hs2	108700000	112200000	TMEM87B
hs1	69300000	84400000	ST6GALNAC3
hs7	107800000	115000000	ZNF277
hs6	62700000	69200000	ME1
hs7	37100000	43300000	LOC646762
hs2	38300000	41500000	QPCT
hs14	50400000	53600000	PTGER2
hs2	129100000	131700000	CXCR4
hsX	76800000	85400000	ARMCX3
hs10	95300000	97500000	FAS
hs18	18500000	21500000	ROCK1
hs18	18500000	21500000	MIB1
hs1	101800000	106700000	SLC35A3
hs13	72800000	74900000	TBC1D4
hs11	110600000	112700000	DIXDC1
hs6	114200000	117900000	MARCKS
hs2	196600000	202500000	IGFBP5
hs8	65100000	67100000	TRAM1
hs5	115900000	122100000	FNIP1
hs15	72400000	74900000	ARNT2
hs18	45900000	50700000	KDSR
hs13	39500000	44600000	LCP1
hs1	156600000	159100000	RGS5
hs13	17700000	18900000	ANKRD20A1
hs1	236400000	243500000	GREM2
hs11	63600000	66100000	MRGPRF
hs4	75300000	78000000	CCNI
hs4	113200000	119900000	CAMK2D
hs13	109600000	114364328	LAMP1
hs2	168900000	177100000	GPR155
hs19	31900000	35100000	ERF
hs14	50400000	53600000	ZFP36L1
