1	hs7	6374523	6403977
1	hs7	111726110	112206411
2	hs7	6374523	6403977
2	hs22	21754500	21867680
3	hs7	6374523	6403977
3	hs5	68215720	68301821
4	hs5	68215720	68301821
4	hs13	28300344	28495128
5	hs5	68215720	68301821
5	hs22	21754500	21867680
6	hs5	68215720	68301821
6	hs12	80792520	80937925
7	hs22	21754500	21867680
7	hs7	140719327	140924764
8	hs22	21754500	21867680
8	hs5	58969038	60522120
9	hs22	21754500	21867680
9	hs12	80792520	80937925
10	hs22	21754500	21867680
10	hs1	58780788	58784327
11	hs1	58780788	58784327
11	hs6	122779475	122784074
12	hs1	58780788	58784327
12	hs15	39581079	39599466
13	hs7	80369575	80679277
13	hs15	39581079	39599466
14	hs7	80369575	80679277
14	hs12	80792520	80937925
15	hs15	39581079	39599466
15	hs2	216672105	216695525
16	hs2	216672105	216695525
16	hs7	101127089	101139266
17	hs15	39581079	39599466
17	hs7	81699006	81770438
18	hs7	101127089	101139266
18	hs8	42175233	42207724
19	hs7	101127089	101139266
19	hs1	58780788	58784327
20	hs8	42175233	42207724
20	hs7	81699006	81770438
21	hs1	58780788	58784327
21	hs8	42175233	42207724
22	hs1	58780788	58784327
22	hs2	40097270	40611053
23	hs7	81699006	81770438
23	hs11	35138870	35232402
24	hs1	58780788	58784327
24	hs12	85874295	85882992
25	hs1	58780788	58784327
25	hs10	88990531	89015785
26	hs11	35138870	35232402
26	hs1	58780788	58784327
27	hs11	35138870	35232402
27	hs10	69088106	69104811
28	hs11	35138870	35232402
28	hs1	198638671	198757283
29	hs1	58780788	58784327
29	hs6	151239999	151358557
30	hs6	151239999	151358557
30	hs5	58969038	60522120
31	hs1	58780788	58784327
31	hs20	34363235	34511393
32	hs20	34363235	34511393
32	hs13	36301638	36370180
33	hs20	34363235	34511393
33	hs2	136114349	136118165
34	hs1	58780788	58784327
34	hs6	159969099	160113507
35	hs6	159969099	160113507
35	hs1	198638671	198757283
36	hs1	198638671	198757283
36	hs2	136114349	136118165
37	hs1	198638671	198757283
37	hs8	55879813	56011381
38	hs8	55879813	56011381
38	hs14	52639916	52695900
39	hs14	52639916	52695900
39	hs17	81843159	81860694
40	hs17	81843159	81860694
40	hs2	136114349	136118165
41	hs8	55879813	56011381
41	hs5	58969038	60522120
42	hs5	58969038	60522120
42	hs10	114044056	114046908
43	hs15	80404350	80597937
43	hs14	34706769	34714823
44	hs15	80404350	80597937
44	hs13	46125920	46211871
45	hs15	80404350	80597937
45	hs14	68787660	68796253
46	hs15	80404350	80597937
46	hs5	151020438	151028993
47	hs9	104781002	104928237
47	hs12	80792520	80937925
